Grapheme	IPA
_	_
0	⁰ +
0$	⁰	
⁰²	⁰/² +
⁰²$	⁰/²
1$	¹
1	¹ +
¹¹$	¹¹
¹¹	¹¹ +
¹²$	¹²
¹²	¹² +
¹³$	¹³
¹³	¹³ +
2$	²
2	² +
²¹$	²¹
²¹	²¹ +
²¹²$	²¹²
²¹²	²¹² +
²¹⁴$	²¹⁴
²¹⁴	²¹⁴ +
²²$	²²
²²	²² +
²³$	²³
²³	²³ +
²⁴$	²⁴
²⁴	²⁴ +
3$	³
3	³ +
³¹$	³¹
³¹	³¹ +
³²$	³²
³²	³² +
³³$	³³
³³	³³ +
³⁴$	³⁴
³⁴	³⁴ +
³⁴¹$	³⁴¹
³⁴¹	³⁴¹ +
³⁵$	³⁵
³⁵	³⁵ +
³⁵⁴$	³⁵⁴
³⁵⁴	³⁵⁴ +
4$	⁴
4	⁴ +
⁴²$	⁴²
⁴²	⁴² +
⁴⁴$	⁴⁴
⁴⁴	⁴⁴ +
⁴⁵³$	⁴⁵³
⁴⁵³	⁴⁵³ +
5$	⁵
5	⁵ +
⁵²$	⁵²
⁵²	⁵² +
⁵³$	⁵³
⁵³	⁵³ +
⁵⁵$	⁵⁵
⁵⁵	⁵⁵ +
6$	⁶/¹³
8$	⁸/³¹
a	a
^a	a
a:	aː
aː	aː
^a:	aː
æ	æ
æ̃	æ̃
ɐ	ɐ
ɑ	ɑ
ɒ	ɒ
b	b
c	c
^ɕ	ɕ
ɕ	ɕ
^ɕʰ	ɕʰ
d	d
^d	d
ð	ð
dʑ	dʑ
ȡ	ȡ
e	e
ẽ	ẽ
ə	ə
ə̌	ə̌
ɛ	ɛ
ɤ	ɤ
^f	f
f	f
^g	g
g	g
^gw	gʷ
gw	gʷ
^ɣ	ɣ
ɣ	ɣ
^h	h
h	h
ɦ	ɦ
i	i
ɪ	ɪ
j	j
^j	j
^k	k
k	k
^kh	kʰ
kh	kʰ
^khw	kʰ w
^kw	kʷ
kw	kʷ
^l	l
l	l
^ɬ	ɬ
ɬ	ɬ
^ɬʰ	ɬʰ
ȴ	ȴ
m	m
^m	m
m̥	m̥
^m̥	m̥
n	n
^n	n
^n̥	n̥
^	NULL
$	NULL
-	NULL
 	NULL
^ȵ	ȵ
ȵ	ȵ
ŋ	ŋ
^ŋ	ŋ
ŋ̃	ŋ̃
o	o
õ	õ
ɔ	ɔ
^ɔ	ɔ
^p	p
p	p
ph	pʰ
^ph	pʰ
pʰ	pʰ
^pʰ	pʰ
^q	q
q	q
^qh	qʰ
^qʰ	qʰ
qh	qʰ
ɿ	ɿ
^s	s
s	s
^sʰ	sʰ
sʰ	sʰ
^sh	sʰ
^t	t
t	t
^tɕ	tɕ
tɕ	tɕ
^th	tʰ
th	th
^ts	ts
ts	ts
tsʰ	tsʰ
^tsʰ	tsʰ
^ȶ	ȶ
ȶ	ȶ
u	u
^u	u
u:	uː
ɯ	ɯ
^v	v
v	v
^w	w
w$	w
w	w
^x	x
y	y
^z	z
z	z
^ʑ	ʑ
ʑ	ʑ
ʔ	ʔ
^ʔ	ʔ
ʔ$	ʔ ⁰
?$	ʔ ⁰
θ	θ
^θ	θ
.	⁰ +
⁣ȶ	ȶ
