ID	Name	Country	Glottocode	ISO639P3code	Latitude	Longitude
KimMunLaos	Luang Nam Tha, Laos	Laos		mji	20.95	101.4
KimMunLaocai	Lao Cai, Vietnam	Vietnam		mji	22.33	104
