ID	GLOSS	SCategory	NewCategory	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
1	bear	Animals	Animals	1820	BEAR	
2	frog	Animals	Animals	503	FROG	
3	monkey	Animals	Animals	1350	MONKEY	
4	mosquito	Animals	Animals	1509	MOSQUITO	
5	pig	Animals	Animals	1337	PIG	
6	snail	Animals	Animals	1543	SNAIL	
7	snake	Animals	Animals	730	SNAKE	
8	spider	Animals	Animals	843	SPIDER	
9	tiger	Animals	Animals	846	TIGER	
10	turtle	Animals	Animals	112	TURTLE	
11	earthworm	Animals	Animals	2350	EARTHWORM	
12	bee	Animals	Animals	665	BEE	
13	bird	Animals	Animals	937	BIRD	
14	buffalo	Animals	Animals	934	BUFFALO	
15	cat	Animals	Animals	1208	CAT	
16	chicken	Animals	Animals	1318	CHICKEN	
17	dog	Animals	Animals	2009	DOG	
18	fish	Animals	Animals	227	FISH	
19	fly	Animals	Animals	1441	FLY (MOVE THROUGH AIR)	
20	animal	Animals	Animals	619	ANIMAL	Laos
21	deer	Animals	Animals	1936	DEER	Laos
22	rabbit	Animals	Animals	1136	RABBIT	Laos
23	porcupine	Animals	Animals	2510	PORCUPINE	Laos
24	cow	Animals	Animals	1007	COW	Laos
25	elephant	Animals	Animals	1290	ELEPHANT	Laos
26	duck	Animals	Animals	1360	DUCK	Laos
27	house lizard	Animals	Animals	632	LIZARD	Laos
28	crocodile	Animals	Animals	1857	CROCODILE	Laos
29	tadpole	Animals	Animals			Laos
30	louse (head)	Animals	Animals	310	HEAD LOUSE	Laos
31	termite	Animals	Animals	883	TERMITE	Laos
32	cockroach	Animals	Animals	1575	COCKROACH	Laos
33	butterfly	Animals	Animals	1791	BUTTERFLY	Laos
34	scorpion	Animals	Animals	1538	SCORPION	Laos
35	ant	Animals	Animals	587	ANT	Vietnam
36	crow	Animals	Animals	913	CROW	Vietnam
37	barking deer	Animals	Animals	3152	MUNTJACS	Vietnam
38	sambar deer	Animals	Animals	2456	LARGE WILD HERBIVORE	Vietnam
39	dragon	Animals	Animals	2038	DRAGON	Vietnam
40	dragon fly	Animals	Animals	2352	DRAGONFLY	Vietnam
41	duck1	Animals	Animals	1360	DUCK	Vietnam
42	duck2	Animals	Animals			Vietnam
43	eagle	Animals	Animals	1905	EAGLE	Vietnam
44	flea	Animals	Animals	232	FLEA	Vietnam
45	goat	Animals	Animals	2684	CAPRINE (GOAT OR SHEEP)	Vietnam
46	bat	Animals	Animals	1793	BAT	Vietnam
47	grasshopper	Animals	Animals	607	GRASSHOPPER	Vietnam
48	horse	Animals	Animals	615	HORSE	Vietnam
49	insect	Animals	Animals	620	INSECT	Vietnam
50	leech, dry	Animals	Animals	2273	LEECH	Vietnam
51	leech, wet	Animals	Animals	949	WATER LEECH	Vietnam
52	lizard	Animals	Animals	632	LIZARD	Vietnam
53	louse, head	Animals	Animals	310	HEAD LOUSE	Vietnam
54	bore	Animals	Animals	1501	BORE	Vietnam
55	piglet	Animals	Animals	2564	PIGLET	Vietnam
56	pig sow	Animals	Animals	1351	SOW (FEMALE PIG)	Vietnam
57	caterpillar	Animals	Animals	2247	CATERPILLAR	Vietnam
58	rat	Animals	Animals	2139	MUROID (MOUSE OR RAT)	Vietnam
59	shrimp	Animals	Animals	2349	SHRIMP	Vietnam
60	sparrow	Animals	Animals	1854	SPARROW	Vietnam
61	wasp	Animals	Animals	1517	WASP	Vietnam
62	weasel	Animals	Animals	3384	WEASEL	Vietnam
63	goose	Animals	Animals	1187	GOOSE	Vietnam
64	pangolin	Animals	Animals	2508	PANGOLIN	Vietnam
65	centipede	Animals	Animals	1974	CENTIPEDE	Vietnam
66	chicken cock	Animals	Animals	1511	ROOSTER	Vietnam
67	chicken hen	Animals	Animals	1514	HEN	Vietnam
68	cow/ox	Animals	Animals	1153	CATTLE	Vietnam
69	crab	Animals	Animals	2348	CRAB	Vietnam
70	cricket	Animals	Animals	2354	CRICKET	Vietnam
71	bird's nest	Animals	Animals, Architecture	3549	BIRD NEST	Laos
72	spider web	Animals	Animals, Architecture	1065	SPIDER WEB	Laos
73	horn	Body	Animals, Body	1393	HORN (ANATOMY)	
74	milk	Body	Animals, Body	93	DRAW MILK	
75	wing	Animals	Animals, Body	1257	WING	Laos
76	feather	Animals	Animals, Body	1201	FEATHER	Laos
77	hoof	Body	Animals, Body	152	HOOF	Vietnam
78	clothing	Apparel	Apparel	1895	CLOTHES	
79	trousers	Apparel	Apparel	809	TROUSERS	
80	ring (finger)	Home	Apparel	1374	RING	
81	blouse	Apparel	Apparel			Vietnam
82	bracelet	Apparel	Apparel	1754	BRACELET	Vietnam
83	cloth	Apparel	Apparel	1616	CLOTH	Vietnam
84	earring	Apparel	Apparel	770	EARRING	Vietnam
85	ring	Apparel	Apparel	1374	RING	Vietnam
86	shirt/tunic	Apparel	Apparel	1622	SHIRT	Vietnam
87	skirt	Apparel	Apparel	1600	SKIRT	Vietnam
88	thread	Apparel	Apparel	1161	THREAD	Vietnam
89	back	Body	Body	1291	BACK	
90	beard	Body	Body	678	BEARD	
91	blood	Body	Body	946	BLOOD	
92	bone	Body	Body	1394	BONE	
93	brain	Body	Body	1583	BRAIN	
94	egg	Body	Body	744	EGG	
95	eye	Body	Body	1248	EYE	
96	face	Body	Body	1560	FACE	
97	excrement	Body	Body	675	FAECES (EXCREMENT)	
98	finger	Body	Body	1303	FINGER	
99	fingernail	Body	Body	1258	FINGERNAIL	
100	hand	Body	Body	1277	HAND	
101	head	Body	Body	1256	HEAD	
102	heart	Body	Body	1223	HEART	
103	leg	Body	Body	1297	LEG	
104	liver	Body	Body	1224	LIVER	
105	lungs	Body	Body	688	LUNG	
106	mouth	Body	Body	674	MOUTH	
107	nose	Body	Body	1221	NOSE	
108	pus	Body	Body	1808	PUS	
109	saliva	Body	Body	1503	SALIVA	
110	skin	Body	Body	763	SKIN	
111	tail	Body	Body	1220	TAIL	
112	thigh	Body	Body	800	THIGH	
113	tongue	Body	Body	1205	TONGUE	
114	urine	Body	Body	1142	URINE	
115	chin	Body	Body	1510	CHIN	
116	heel	Body	Body	980	HEEL	
117	navel	Body	Body	1838	NAVEL	
118	hair	Body	Body	1040	HAIR	Laos
119	forehead	Body	Body	123	FOREHEAD	Laos
120	eyebrow	Body	Body	1173	EYEBROW	Laos
121	eyelid	Body	Body	17	EYELID	Laos
122	cheek	Body	Body	1730	CHEEK	Laos
123	ear	Body	Body	1247	EAR	Laos
124	tooth	Body	Body	1380	TOOTH	Laos
125	gums	Body	Body	139	GUMS	Laos
126	intestines	Body	Body	1991	INTESTINES	Laos
127	elbow	Body	Body	981	ELBOW	Laos
128	armpit	Body	Body	1886	ARMPIT	Laos
129	palm	Body	Body	1183	PALM OF HAND	Laos
130	buttocks	Body	Body	834	BUTTOCKS	Laos
131	knee	Body	Body	1371	KNEE	Laos
132	calf	Body	Body	498	CALF OF LEG	Laos
133	shin	Body	Body	186	SHIN	Laos
134	foot	Body	Body	1301	FOOT	Laos
135	rib	Body	Body	801	RIB	Laos
136	flesh	Body	Body	2615	FLESH OR MEAT	Laos
137	sweat	Body	Body	125	SWEAT (SUBSTANCE)	Laos
138	arm	Body	Body	1673	ARM	Vietnam
139	belly	Body	Body	1251	BELLY	Vietnam
140	body	Body	Body	1480	BODY	Vietnam
141	butt	Body	Body	834	BUTTOCKS	Vietnam
142	chest	Body	Body	1592	CHEST	Vietnam
143	cockcmbi	Body	Body			Vietnam
144	corpse	Body	Body	767	CORPSE	Vietnam
145	ears	Body	Body	1247	EAR	Vietnam
146	eyebrows	Body	Body	1173	EYEBROW	Vietnam
147	foot (surface)	Body	Body	1301	FOOT	Vietnam
148	hair of body	Body	Body	189	HAIR (BODY)	Vietnam
149	hair of body2	Body	Body	189	HAIR (BODY)	Vietnam
150	hair of head	Body	Body	2648	HAIR (HEAD)	Vietnam
151	hip	Body	Body	1745	HIP	Vietnam
152	intestine	Body	Body	1991	INTESTINES	Vietnam
153	mucus	Body	Body	208	NASAL MUCUS (SNOT)	Vietnam
154	neck	Body	Body	1333	NECK	Vietnam
155	nest	Body	Body	539	NEST	Vietnam
