ID	Source_ID	CONCEPT	DOCULECT	IPA
665	Vietnam_140	(corrupt file)	Lao Cai, Vietnam	------------
943	Vietnam_418	1	Lao Cai, Vietnam	ɑ¹¹
427	Laos_427	1 (person)	Luang Nam Tha, Laos	a³³la:n³¹
446	Laos_446	1,000 (persons)	Luang Nam Tha, Laos	a³³tin³⁵la:n³¹
449	Laos_449	1,000,000 (persons)	Luang Nam Tha, Laos	a³³lan³¹la:n³¹
952	Vietnam_427	10	Lao Cai, Vietnam	sap¹¹
436	Laos_436	10 (persons)	Luang Nam Tha, Laos	sap³¹la:n³¹
447	Laos_447	10,000 (persons)	Luang Nam Tha, Laos	sap³¹tin³⁵la:n³¹
964	Vietnam_439	100	Lao Cai, Vietnam	ap¹¹pɛ²¹⁴
445	Laos_445	100 (persons)	Luang Nam Tha, Laos	a³³pe⁵³la:n³¹
448	Laos_448	100,000 (persons)	Luang Nam Tha, Laos	a³³θe³³la:n³¹
965	Vietnam_440	1000	Lao Cai, Vietnam	a¹¹tin⁵²
953	Vietnam_428	11	Lao Cai, Vietnam	sap¹¹bjɛt³³
954	Vietnam_429	12	Lao Cai, Vietnam	sap¹¹ȵe¹¹
955	Vietnam_430	13	Lao Cai, Vietnam	sap¹¹sam²¹⁴
956	Vietnam_431	14	Lao Cai, Vietnam	sap¹¹θe³⁵
957	Vietnam_432	15	Lao Cai, Vietnam	sap¹¹ŋo³⁴¹
958	Vietnam_433	16	Lao Cai, Vietnam	sap¹¹gu³³
959	Vietnam_434	17	Lao Cai, Vietnam	sap¹¹kjɛt⁵²
960	Vietnam_435	18	Lao Cai, Vietnam	sap¹¹pit³¹
961	Vietnam_436	19	Lao Cai, Vietnam	sap¹¹ȶu⁴⁴
944	Vietnam_419	2	Lao Cai, Vietnam	i³⁵
428	Laos_428	2 (persons)	Luang Nam Tha, Laos	i³³la:n³¹
962	Vietnam_437	20	Lao Cai, Vietnam	ni³³sap¹¹
437	Laos_437	20 (persons)	Luang Nam Tha, Laos	ȵi³¹sap³¹la:n³¹
963	Vietnam_438	21	Lao Cai, Vietnam	ni³³sap¹¹ȵe¹¹
945	Vietnam_420	3	Lao Cai, Vietnam	po²¹⁴
429	Laos_429	3 (persons)	Luang Nam Tha, Laos	pu⁵³la:n³¹
438	Laos_438	30 (persons)	Luang Nam Tha, Laos	θam³³sap³¹la:n³¹
946	Vietnam_421	4	Lao Cai, Vietnam	pje²¹⁴
430	Laos_430	4 (persons)	Luang Nam Tha, Laos	pi⁵³la:n³¹
439	Laos_439	40 (persons)	Luang Nam Tha, Laos	θe³³sap³¹la:n³¹
947	Vietnam_422	5	Lao Cai, Vietnam	pja²¹⁴
431	Laos_431	5 (persons)	Luang Nam Tha, Laos	pja⁵³la:n³¹
440	Laos_440	50 (persons)	Luang Nam Tha, Laos	ŋo³⁴¹sap³¹la:n³¹
948	Vietnam_423	6	Lao Cai, Vietnam	kjɔ²¹⁴
432	Laos_432	6 (persons)	Luang Nam Tha, Laos	kjo⁵³la:n³¹
441	Laos_441	60 (persons)	Luang Nam Tha, Laos	gu³¹sap³¹la:n³¹
949	Vietnam_424	7	Lao Cai, Vietnam	ȵi³³
433	Laos_433	7 (persons)	Luang Nam Tha, Laos	ȵi³¹la:n³¹
442	Laos_442	70 (persons)	Luang Nam Tha, Laos	ȶɛt³⁵sap³¹la:n³¹
950	Vietnam_425	8	Lao Cai, Vietnam	jɐt³³
434	Laos_434	8 (persons)	Luang Nam Tha, Laos	jɛt³¹la:n³¹
