ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Country,Name_in_Source
KimMunLaos,"Luang Nam Tha, Laos",kimm1245,,mji,,20.95,101.4,,Laos,
KimMunLaocai,"Lao Cai, Vietnam",kimm1245,,mji,,22.33,104,,Vietnam,
