ID	English	Lao Cai, Vietnam	SID	SCategory	NewCategory	Note
1	ant	θɐw³³	1	Animals	Animals	
2	bat	klɐ.buj⁵²	2	Animals	Animals	
3	bear	kjɐp³³	3	Animals	Animals	
4	bee	mɐj³⁴¹muŋ⁴⁴	4	Animals	Animals	
5	bird	nɔ³³	5	Animals	Animals	
6	buffalo	ŋɔŋ¹¹	6	Animals	Animals	
7	cat	ma:w¹¹	7	Animals	Animals	
8	caterpillar	buŋ³³blɐw³⁴¹	8	Animals	Animals	
9	centipede	θap⁵²	9	Animals	Animals	
10	chicken cock	ȶɐj²¹⁴kɔŋ³¹	10	Animals	Animals	
11	chicken hen	⁣ȶɐj²¹⁴ȵɐj³⁴¹	11	Animals	Animals	
12	chicken	ȶɐj²¹⁴	12	Animals	Animals	
13	cow/ox	ŋɔ¹¹wa:ŋ¹¹	13	Animals	Animals	
14	crab	kjɐm³⁵ȵaj²¹⁴	14	Animals	Animals	
15	cricket	kjɛŋ²¹⁴kjo³¹	15	Animals	Animals	
16	crow	ku.a:³¹	16	Animals	Animals	
17	barking deer	ȶuŋ²¹⁴	17	Animals	Animals	
18	sambar deer	ki¹¹juŋ¹¹	18	Animals	Animals	
19	dog	klu⁴⁴	19	Animals	Animals	
20	dragon	kuŋ²¹⁴	20	Animals	Animals	
21	dragon fly	kjɛŋ²¹⁴nuŋ⁴⁴	21	Animals	Animals	
22	duck1	a:p¹¹	22	Animals	Animals	
23	duck2	-----------	23	Animals	Animals	
24	eagle	kla:ŋ⁴⁴	24	Animals	Animals	
25	fish	bjaw³⁴¹	25	Animals	Animals	
26	flea	klɐ.muŋ⁵²	26	Animals	Animals	
27	fly	kjɛŋ²¹⁴gjɐm⁵²	27	Animals	Animals	
28	frog	ȶɛŋ⁴⁴	28	Animals	Animals	
29	goat	juŋ¹¹	29	Animals	Animals	
30	grasshopper	kjɛŋ²¹⁴bo³¹	30	Animals	Animals	
31	horse	ma³⁴¹	31	Animals	Animals	
32	insect	kjɛŋ²¹⁴	32	Animals	Animals	
33	leech, dry	kjɐm²¹⁴	33	Animals	Animals	
34	leech, wet	ma¹¹wa:ŋ¹¹	34	Animals	Animals	
35	lizard	bɐ.koŋ¹¹sa:⁵²	35	Animals	Animals	
36	louse, head	θɐj³³	36	Animals	Animals	
37	monkey	biŋ²¹⁴	37	Animals	Animals	
38	mosquito	kjɛŋ²¹⁴	38	Animals	Animals	
39	pig	tuŋ³¹	39	Animals	Animals	
40	bore	tuŋ³¹kɐw⁴⁴	40	Animals	Animals	
41	piglet	tuŋ³¹kjɐn²¹⁴	41	Animals	Animals	
42	pig sow	tuŋ³¹kjan³⁵	42	Animals	Animals	
43	rat	du²¹⁴	43	Animals	Animals	
44	shrimp	ȶa³¹kɔŋ²¹⁴	44	Animals	Animals	
45	snail	kwɐj²¹⁴	45	Animals	Animals	
46	snake	na:ŋ²¹⁴	46	Animals	Animals	
47	sparrow	nɔ³³kɐj³³	47	Animals	Animals	
48	spider	kjɛŋ²¹⁴ȵa:⁴⁴	48	Animals	Animals	
49	tiger	gja:n¹¹	49	Animals	Animals	
50	turtle	pit³¹	50	Animals	Animals	
51	wasp	mɐj³⁴¹	51	Animals	Animals	
52	weasel	kin¹¹ma:w¹¹	52	Animals	Animals	
53	earthworm	nuŋ¹¹naŋ²¹⁴	53	Animals	Animals	
54	goose	-------	54	Animals	Animals	
55	pangolin	-------	55	Animals	Animals	
56	arm	pu.θe⁵²	56	Body	Body	
57	back	kɐ.tan⁴⁴kaŋ²¹⁴	57	Body	Body	
58	beard	θɔm⁵²	58	Body	Body	
59	belly	ȵo³³	59	Body	Body	
60	blood	θa:m³³	60	Body	Body	
61	body	θin⁵²	61	Body	Body	
62	bone	θuŋ⁴⁴	62	Body	Body	
63	brain	pi⁴⁴le⁴⁴	63	Body	Body	
64	butt	kɐ.tlaj⁴⁴kɐ⁵²	64	Body	Body	
65	chest	kɐ.lap³¹	65	Body	Body	
66	cockcmbi	gɐn²¹⁴	66	Body	Body	I guess it is : male genitals
67	corpse	mun¹¹tɐj³³	67	Body	Body	
68	ears	mɐ.nɔm¹¹	68	Body	Body	
69	egg	kjaw³⁵	69	Body	Body	
70	eye	mɐj³³	70	Body	Body	
71	eyebrows	mɐj³³ma:j³¹	71	Body	Body	
72	face	min⁵²	72	Body	Body	
73	excrement	dɐj⁴⁴	73	Body	Body	
74	finger	pu.dɔ³¹	74	Body	Body	
75	fingernail	pu.dɔ³¹waj³⁵	75	Body	Body	
76	foot (surface)	θaw³⁵pen⁴⁴	76	Body	Body	
77	hair of body	pje²¹⁴	77	Body	Body	
78	hair of body2	------------	78	Body	Body	
79	hair of head	pi³³dɔŋ²¹⁴	79	Body	Body	
80	hand	pu.pen⁴⁴	80	Body	Body	
81	head	pje⁴⁴	81	Body	Body	
82	heart	θin²¹⁴taw³¹	82	Body	Body	
83	hip	kɐ.tlaj⁴⁴tuj⁴⁴	83	Body	Body	
84	hoof	θaw³⁵dɔ³¹waj³⁵	84	Body	Animals, Body	
85	horn	kjɔŋ²¹⁴	85	Body	Animals, Body	
86	intestine	kla:ŋ¹¹	86	Body	Body	
87	leg	θaw³⁵	87	Body	Body	
88	liver	gjɐn⁵²	88	Body	Body	
89	lungs	klum⁵²	89	Body	Body	
90	milk	nu⁴⁴	90	Body	Animals, Body	
91	mouth	ȡɐt³³	91	Body	Body	
92	mucus	blut³³	92	Body	Body	
93	neck	kla:ŋ²¹⁴	93	Body	Body	
94	nest	gjaw³⁴¹	94	Body	Body	
95	nose	pu.ȶɔŋ²¹⁴	95	Body	Body	
96	pus	nuŋ³³	96	Body	Body	
97	ribs	ȵɔ¹¹tam⁴⁴θuŋ⁴⁴	97	Body	Body	
98	saliva	ȡaːn¹¹	98	Body	Body	
99	shoulder	pɐ.taw¹¹	99	Body	Body	
100	skin	tɐ.dup³¹	100	Body	Body	
101	tail	tɐj⁴⁴	101	Body	Body	
102	tears	mɐj³³wɐm²¹⁴	102	Body	Body	
103	thigh	θaw³⁵bɔŋ³⁵	103	Body	Body	
104	toe	θaw³⁵dɔ³¹	104	Body	Body	
105	tongue	bjɐt³³	105	Body	Body	
106	tusk	ȵa:¹¹	106	Body	Body	
107	boil/ulcer	bew³⁴¹	107	Body	Body	
108	urine	wa³⁴¹	108	Body	Body	
109	waist	kla:j⁴⁴	109	Body	Body	
110	chin	-------	110	Body	Body	
111	heel	-------	111	Body	Body	
112	navel	-------	112	Body	Body	
113	bank river	wɐm²¹⁴sin³¹	113	Nature	Nature	
114	cave	ȶɔ.bɛŋ³¹kɔt³⁵	114	Nature	Nature	
115	cliff	gjaw²¹⁴pje³¹	115	Nature	Nature	
116	cloud	vɐn¹³	116	Nature	Nature	
117	copper	tɔŋ¹¹	117	Nature	Nature	
118	ditch	θin³⁵wɐm²¹⁴	118	Nature	Nature	
119	earth	ni⁵²	119	Nature	Nature	
120	fog	kja:³⁵	120	Nature	Nature	
121	forest	kim¹¹	121	Nature	Plants, Food	
122	gold	sɐm²¹⁴	122	Nature	Nature	
123	iron	gja:⁵²	123	Nature	Nature	
124	lightening	buŋ³³bit³¹to⁵²	124	Nature	Nature	
125	mountain	ȶɔŋ²¹⁴	125	Nature	Nature	
126	mud	pa:m³³	126	Nature	Nature	
127	pond	bjaw³⁴¹kla:ŋ¹¹	127	Nature	Nature	
128	rain	buŋ³³lu⁵²	128	Nature	Nature	
129	river	kɔj³³	129	Nature	Nature	
130	salt	da:w³³	130	Nature	Plants, Food	
131	sand	gjaw²¹⁴θa:j²¹⁴	131	Nature	Nature	
132	silver	ȵa:n¹¹	132	Nature	Nature	
